source_file,json_path,title,year,num_scenes,avg_scene_chars,status,method,error
selected_transcripts2/Coco _2009_ - full transcript.txt,processed3_transcripts/coco-2009-full-transcript-txt.json,Coco,2009,17.0,2225.0,ok,punct_chunk_2200,
selected_transcripts2/Crash _1996_ - full transcript.txt,processed3_transcripts/crash-1996-full-transcript-txt.json,Crash,1996,1.0,0.0,ok,headings_or_brackets,
selected_transcripts2/Clueless _1995_ - full transcript.txt,processed3_transcripts/clueless-1995-full-transcript-txt.json,Clueless,1995,28.0,2262.0,ok,punct_chunk_2200,
selected_transcripts2/Cloud Atlas _2012_ - full transcript.txt,processed3_transcripts/cloud-atlas-2012-full-transcript-txt.json,Cloud Atlas,2012,29.0,2244.0,ok,punct_chunk_2200,
selected_transcripts2/Coherence _2013_ - full transcript.txt,processed3_transcripts/coherence-2013-full-transcript-txt.json,Coherence,2013,28.0,2256.0,ok,punct_chunk_2200,
selected_transcripts2/Dancer in the Dark _2000_ - full transcript.txt,processed3_transcripts/dancer-in-the-dark-2000-full-transcript-txt.json,Dancer in the Dark,2000,18.0,2209.0,ok,punct_chunk_2200,
selected_transcripts2/Deliverance _1972_ - full transcript.txt,processed3_transcripts/deliverance-1972-full-transcript-txt.json,Deliverance,1972,13.0,2272.0,ok,punct_chunk_2200,
selected_transcripts2/Donnie Darko _2001_ - full transcript.txt,processed3_transcripts/donnie-darko-2001-full-transcript-txt.json,Donnie Darko,2001,18.0,2181.0,ok,punct_chunk_2200,
selected_transcripts2/Deadpool _2016_ - full transcript.txt,processed3_transcripts/deadpool-2016-full-transcript-txt.json,Deadpool,2016,23.0,2274.0,ok,punct_chunk_2200,
selected_transcripts2/Die Hard _1988_ - full transcript.txt,processed3_transcripts/die-hard-1988-full-transcript-txt.json,Die Hard,1988,23.0,2256.0,ok,punct_chunk_2200,
selected_transcripts2/Dumb and Dumber _1994_ - full transcript.txt,processed3_transcripts/dumb-and-dumber-1994-full-transcript-txt.json,Dumb and Dumber,1994,20.0,2325.0,ok,punct_chunk_2200,
selected_transcripts2/Enemy _2013_ - full transcript.txt,processed3_transcripts/enemy-2013-full-transcript-txt.json,Enemy,2013,7.0,2069.0,ok,punct_chunk_2200,
selected_transcripts2/Eternal Sunshine of the Spotless Mind _2004_ - full transcript.txt,processed3_transcripts/eternal-sunshine-of-the-spotless-mind-2004-full-transcript-txt.json,Eternal Sunshine of the Spotless Mind,2004,9.0,2190.0,ok,punct_chunk_2200,
selected_transcripts2/Easy A _2010_ - full transcript.txt,processed3_transcripts/easy-a-2010-full-transcript-txt.json,Easy A,2010,28.0,2227.0,ok,punct_chunk_2200,
selected_transcripts2/Edge of Tomorrow _2014_ - full transcript.txt,processed3_transcripts/edge-of-tomorrow-2014-full-transcript-txt.json,Edge of Tomorrow,2014,46.0,998.0,ok,headings_or_brackets,
selected_transcripts2/Eat Pray Love _2010_ - full transcript.txt,processed3_transcripts/eat-pray-love-2010-full-transcript-txt.json,Eat Pray Love,2010,28.0,2230.0,ok,punct_chunk_2200,
